"id","hash","date","time","median_time","size","stripped_size","weight","version","version_hex","version_bits","merkle_root","nonce","bits","difficulty","chainwork","coinbase_data_hex","transaction_count","witness_count","input_count","output_count","input_total","input_total_usd","output_total","output_total_usd","fee_total","fee_total_usd","fee_per_kb","fee_per_kb_usd","fee_per_kwu","fee_per_kwu_usd","cdd_total","generation","generation_usd","reward","reward_usd","guessed_miner"
"628864","00000000000000000011221ad4b2e1135c03bfd9968146149df3663bb5adc9ee","2020-05-04","2020-05-04 08:05:02","2020-05-04 07:28:19","1090540","809374","3518662","549453824","20c00000","100000110000000000000000000000","467b976d08ef401dca8edcfad85f5aea20a42912431cc7ae9c558fdf608e52ff","1122762058","387031859","15958652328578","00000000000000000000000000000000000000000f2114ae28fd80e818fc9e14","038098091b4d696e656420627920416e74506f6f6c3239ae00290020ffb120b6fabe6d6dad3ae02727f481bdf5def7e88fc8ec4c7ecbdc9916fbe1c5d493ad7bf96cebb90400000000000000a8c60d00221e0000","1980","1117","5240","5166","320840866693","28531300","322090866693","28642400","39141680","3480.73","35904.6","3.19287","11128.5","0.98962","17122.44938089","1250000000","111158","1289141680","114639","AntPool"
"628863","0000000000000000000b23ef8890612ef8e5fd74d1f4bbfc4546dd2650864a5a","2020-05-04","2020-05-04 07:58:12","2020-05-04 07:08:40","1322561","890331","3993554","536928256","2000e000","100000000000001110000000000000","26ad819d81dab751e5d642923c19b48b0af69c8f77661fedcc1441de3f402a9e","933626809","387031859","15958652328578","00000000000000000000000000000000000000000f21062a70ac2e145a16b380","037f98090400cbaf5e2f706f6f6c696e2e636f6d2ffabe6d6d7c80027c56e9f9091b7e4f028bcbec31acfeb30039fbe9ca2ba9822cf7981bea01000000000000000e62f7e06609164fc365d13f44dfdb051194c4fa62000d680100ffffffff","2487","1151","5918","6431","910932434482","81006000","912182434482","81117200","43271161","3847.95","32728.7","2.91045","10839.8","0.963945","119266.38624871","1250000000","111158","1293271161","115006","Poolin"
"628862","0000000000000000000016fc5a4c50f3718f526180f2d95ea985ef240c06d79e","2020-05-04","2020-05-04 07:45:40","2020-05-04 07:07:21","1146057","790622","3517923","541065216","20400000","100000010000000000000000000000","73f2fc95181ba3455631185f4ad67c70590b6515e0b24d18555962832b0d1e02","3763548822","387031859","15958652328578","00000000000000000000000000000000000000000f20f7a6b85adb409b30c8ec","037e98090425c8af5e2f4254432e434f4d2f42697444656572fabe6d6df0e690940e7ed583f09e1d8ce4d0539bda50b600c5139be1733b384edcb0e2530800000016ed74480200241268c5900100000000","2139","1078","5427","5420","1318204526256","117223000","1319454526256","117334000","32465845","2887.07","28336.4","2.51986","9231.87","0.820958","40189.731787122","1250000000","111158","1282465845","114045","BTC.com"
"628861","000000000000000000004c088a4c0216afea9b60eebbccf82022ac69a42d6a9d","2020-05-04","2020-05-04 07:36:18","2020-05-04 07:01:24","680344","450311","2031277","1073725440","3fffc000","111111111111111100000000000000","8ee9dde23f44f99a2fcf394027f40306f4dfab7f443e812d58cc16f5883d5f49","636728017","387031859","15958652328578","00000000000000000000000000000000000000000f20e9230009886cdc4ade58","037d980941d7abf17cefa3c241d7abf17c9276f12f48756f62692ffabe6d6d6698f5448fc6aad3a95a0788346ef19f35ec32b127b0570304a4f1838cda69ef8000000000000000c500b8c8fffa210000000000","1154","669","3290","2789","482240300496","42883900","483490300496","42995100","26477789","2354.58","38940","3.4628","13044.1","1.15997","11011.133882365","1250000000","111158","1276477789","113513","Huobi"
"628860","0000000000000000000d69b5965a38e0b9186a6752d9f2f11135f311e0dc03cd","2020-05-04","2020-05-04 07:31:51","2020-05-04 07:01:10","1218549","883251","3868302","545259520","20800000","100000100000000000000000000000","089b28547b237da48cfa33975c38f72664bcc45cc42d6173b75cef601c4ac2e7","1411856409","387031859","15958652328578","00000000000000000000000000000000000000000f20da9f47b835991d64f3c4","037c98091b2f5669614254432f4d696e65642062792073616c686f6f3838382f2cfabe6d6d411ff9f3feb4a2a38b1fde071b9c205bfe58c6cc79ad5cb561dc90d4213d6aff100000000000000010fd4afe0801953bf246522364aed30000","2342","1109","5722","5472","310337157365","27597200","311587157365","27708400","15151076","1347.33","12437.8","1.10605","3918.22","0.348434","35862.196309221","1250000000","111158","1265151076","112505","ViaBTC"
"628859","0000000000000000000f7b7d68fc1bbe3535cc094e46ffb48118ba51b5808769","2020-05-04","2020-05-04 07:28:19","2020-05-04 06:48:48","1345763","882547","3993404","541065216","20400000","100000010000000000000000000000","7287b69fb32ccfc672715b5ee8bd46bb95340ce23dd70e16a5b7cd4d9af245a5","2956620115","387031859","15958652328578","00000000000000000000000000000000000000000f20cc1b8f66e2c55e7f0930","037b98091b4d696e656420627920416e74506f6f6c3835bc00290220f2902867fabe6d6d94342b0423f13267741a28a4bfb408fd7837cddaa939c756707264d80433f5970400000000000000100a0300d46e0300","2616","1539","6026","7520","1329979572186","118270000","1331229572186","118382000","61896406","5504.23","46006.6","4.09121","15505.2","1.37882","47533.730471447","1250000000","111158","1311896406","116662","AntPool"
"628858","00000000000000000000ff9386e153bbd5686fa9d48f44502fc23177f3f576ae","2020-05-04","2020-05-04 07:08:40","2020-05-04 06:48:07","156746","106180","475286","541065216","20400000","100000010000000000000000000000","4564053d023a91149e8593134227f7cb593b97ffc6310f34456d08c129d4e7b8","2207381681","387031859","15958652328578","00000000000000000000000000000000000000000f20bd97d7158ff19f991e9c","037a98091a4d696e656420627920416e74506f6f6c32fd00fb0020eb88a5a1fabe6d6d96f4cc088ae48f917d40bdf5a1aac4fb5779c6e06a1da1d1d546730891dfd2b404000000000000003b3f0000e2240600","365","191","688","888","44969165034","3998950","46219165034","4110110","6176876","549.288","39502.9","3.51286","13035","1.15915","512.61574929491","1250000000","111158","1256176876","111707","AntPool"
"628857","00000000000000000004b4c7b95ed929c3deb793b39f090cdeba05f8b8d73e11","2020-05-04","2020-05-04 07:07:21","2020-05-04 06:47:51","1557092","789703","3926201","2147475456","7fffe000","111111111111111110000000000000","9f1d279c8934821486ab7f11fcafd11567e61ef238cb4821c0da24d4a0fbba64","657702755","387031859","15958652328578","00000000000000000000000000000000000000000f20af141ec43d1de0b33408","037998091b4d696e656420627920416e74506f6f6c34324e008d0020eb111e00fabe6d6de9cee27f7d59ab026dbde970e60835e9175aeba309508219ec140a8c2c4e46e304000000000000005d460000452b0000","1481","844","8163","3821","433445909525","38544800","434695909525","38656000","25466799","2264.67","16359.4","1.45478","6488.72","0.577019","20828.00695286","1250000000","111158","1275466799","113423","AntPool"
"628856","00000000000000000007100c34787326022b26e0d39a74d6a4c001d176539f2a","2020-05-04","2020-05-04 07:01:24","2020-05-04 06:24:50","350806","139088","768070","536870912","20000000","100000000000000000000000000000","d1ad7c1d814d50c38c3f651696fe914ae1ade09d86a4123f190e5160bbb29c0a","2455026586","387031859","15958652328578","00000000000000000000000000000000000000000f20a0906672ea4a21cd4974","0378980904bfbdaf5e2f706f6f6c696e2e636f6d2ffabe6d6d8479753f816c747df82dfdb5264cdbc3e80ab77bbfcb09712f6bc29885e7a7910100000000000000b882df9c9d7772e5a558aee99e87b5b210b1b3ba6700f601000000000000","274","223","2064","609","14270701843","1269040","15520701843","1380200","1369495","121.784","3908.79","0.347595","1786.91","0.158903","341.18235148238","1250000000","111158","1251369495","111280","Poolin"
"628855","000000000000000000066eec407db3debbed490fb2731a0802349153f00d9040","2020-05-04","2020-05-04 07:01:10","2020-05-04 06:17:33","1337166","885342","3993192","541065216","20400000","100000010000000000000000000000","38833a0ea9eb42f93d828fbcabcc5b0e277b3f0d894ac5dabd07ca29faefc90d","2931032914","387031859","15958652328578","00000000000000000000000000000000000000000f20920cae21977662e75ee0","037798091b4d696e656420627920416e74506f6f6c3438fd00c90220e8da77e6fabe6d6d4ee86c4df4d3e4928497b2ff9eab0a1c404b5642a3cf0300f929f0fa15cf86d304000000000000001f22000091500000","2573","1383","6255","6816","716207927981","63689900","717457927981","63801000","44833433","3986.88","33538.3","2.98244","11231.5","0.998775","7004.7059407786","1250000000","111158","1294833433","115145","AntPool"
